date,cases
2021-03-01,4688
2021-03-02,10964
2021-03-03,11318
2021-03-04,10131
2021-03-05,9659
2021-03-06,8299
2021-03-07,3362
2021-03-08,4849
2021-03-09,11507
2021-03-10,13998
2021-03-11,13168
2021-03-12,12554
2021-03-13,10472
2021-03-14,4837
2021-03-15,6837
2021-03-16,15803
2021-03-17,18363
2021-03-18,16730
2021-03-19,15707
2021-03-20,13221
2021-03-21,5958
2021-03-22,8897
2021-03-23,19448
2021-03-24,22650
2021-03-25,21885
2021-03-26,20032
2021-03-27,15777
2021-03-28,7580
2021-03-29,10987
2021-03-30,20387
2021-03-31,23997
2021-04-01,21434
2021-04-02,15483
2021-04-03,10633
2021-04-04,7150
2021-04-05,7036
2021-04-06,11509
2021-04-07,23717
2021-04-08,25758
2021-04-09,23286
2021-04-10,18031
2021-04-11,8854
2021-04-12,12115
2021-04-13,26726
2021-04-14,28544
2021-04-15,25071
2021-04-16,23071
2021-04-17,17691
2021-04-18,8813
2021-04-19,12292
2021-04-20,27959
2021-04-21,29378
2021-04-22,25448
2021-04-23,22960
2021-04-24,18004
2021-04-25,8661
2021-04-26,12207
2021-04-27,25257
2021-04-28,24991
2021-04-29,21431
2021-04-30,19149
2021-05-01,15058
2021-05-02,6660
2021-05-03,9124
2021-05-04,20979
2021-05-05,20845
2021-05-06,17157
2021-05-07,15479
2021-05-08,12038
2021-05-09,5315
2021-05-10,7390
2021-05-11,16751
2021-05-12,16480
2021-05-13,9667
2021-05-14,7635
2021-05-15,8588
2021-05-16,4275
2021-05-17,5245
2021-05-18,12320
2021-05-19,11310
2021-05-20,8430
2021-05-21,7574
2021-05-22,5815
2021-05-23,2000
2021-05-24,1802
2021-05-25,3670
2021-05-26,7148
2021-05-27,6818
2021-05-28,5157
2021-05-29,3689
2021-05-30,1605
2021-05-31,2441
2021-06-01,5107
2021-06-02,4490
2021-06-03,2935
2021-06-04,2275
2021-06-05,2307
2021-06-06,1129
2021-06-07,1717
2021-06-08,3531
2021-06-09,2867
2021-06-10,2277
2021-06-11,1843
2021-06-12,1308
2021-06-13,513
2021-06-14,932
2021-06-15,1701
2021-06-16,1446
2021-06-17,1155
2021-06-18,1029
2021-06-19,739
2021-06-20,274
2021-06-21,606
2021-06-22,1062
2021-06-23,904
2021-06-24,827
2021-06-25,738
