date,deaths
2020-01-02,0
2020-01-05,0
2020-01-23,0
2020-01-28,0
2020-01-29,0
2020-01-31,0
2020-02-01,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-15,0
2020-02-17,0
2020-02-18,0
2020-02-20,1
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,1
2020-03-06,4
2020-03-07,4
2020-03-08,1
2020-03-09,7
2020-03-10,4
2020-03-11,10
2020-03-12,12
2020-03-13,16
2020-03-14,20
2020-03-15,15
2020-03-16,35
2020-03-17,44
2020-03-18,63
2020-03-19,64
2020-03-20,96
2020-03-21,95
2020-03-22,79
2020-03-23,131
2020-03-24,167
2020-03-25,218
2020-03-26,267
2020-03-27,264
2020-03-28,248
2020-03-29,166
2020-03-30,266
2020-03-31,383
2020-04-01,376
2020-04-02,420
2020-04-03,397
2020-04-04,245
2020-04-05,182
2020-04-06,291
2020-04-07,340
2020-04-08,344
2020-04-09,325
2020-04-10,208
2020-04-11,201
2020-04-12,168
2020-04-13,163
2020-04-14,219
2020-04-15,233
2020-04-16,191
2020-04-17,174
2020-04-18,123
2020-04-19,119
2020-04-20,150
2020-04-21,141
2020-04-22,125
2020-04-23,117
2020-04-24,84
2020-04-25,80
2020-04-26,30
2020-04-27,75
2020-04-28,83
2020-04-29,58
2020-04-30,71
2020-05-01,48
2020-05-02,36
2020-05-03,16
2020-05-04,41
2020-05-05,45
2020-05-06,40
2020-05-07,49
2020-05-08,45
2020-05-09,23
2020-05-10,14
2020-05-11,26
2020-05-12,32
2020-05-13,27
2020-05-14,20
2020-05-15,31
2020-05-16,20
2020-05-17,8
2020-05-18,23
2020-05-19,27
2020-05-20,23
2020-05-21,7
2020-05-22,16
2020-05-23,11
2020-05-24,5
2020-05-25,13
2020-05-26,15
2020-05-27,12
2020-05-28,9
2020-05-29,8
2020-05-30,4
2020-05-31,3
2020-06-01,5
2020-06-02,8
2020-06-03,11
2020-06-04,7
2020-06-05,5
2020-06-06,5
2020-06-07,4
2020-06-08,3
2020-06-09,1
2020-06-10,10
2020-06-11,1
2020-06-12,11
2020-06-13,1
2020-06-14,6
2020-06-15,4
2020-06-16,11
2020-06-17,7
2020-06-18,3
2020-06-19,9
2020-06-20,4
2020-06-21,3
2020-06-22,1
2020-06-23,7
2020-06-24,2
2020-06-25,5
2020-06-26,7
2020-06-27,2
2020-06-28,0
2020-06-29,4
2020-06-30,1
2020-07-01,5
2020-07-02,4
2020-07-03,6
2020-07-04,2
2020-07-05,4
2020-07-06,6
2020-07-07,4
2020-07-08,6
2020-07-09,5
2020-07-10,3
2020-07-11,0
2020-07-12,1
2020-07-13,5
2020-07-14,2
2020-07-15,6
2020-07-16,7
2020-07-17,6
2020-07-18,0
2020-07-19,4
2020-07-20,4
2020-07-21,4
2020-07-22,9
2020-07-23,3
2020-07-24,10
2020-07-25,3
2020-07-26,0
2020-07-27,7
2020-07-28,4
2020-07-29,5
2020-07-30,5
2020-07-31,13
2020-08-01,1
2020-08-02,1
2020-08-03,9
2020-08-04,6
2020-08-05,3
2020-08-06,6
2020-08-07,5
2020-08-08,2
2020-08-09,2
2020-08-10,2
2020-08-11,2
2020-08-12,10
2020-08-13,2
2020-08-14,6
2020-08-15,4
2020-08-16,5
2020-08-17,8
2020-08-18,10
2020-08-19,1
2020-08-20,7
2020-08-21,3
2020-08-22,2
2020-08-23,0
2020-08-24,5
2020-08-25,2
2020-08-26,2
2020-08-27,1
2020-08-28,3
2020-08-29,2
2020-08-30,3
2020-08-31,4
2020-09-01,3
2020-09-02,3
2020-09-03,7
2020-09-04,7
2020-09-05,7
2020-09-06,4
2020-09-07,6
2020-09-08,19
2020-09-09,9
2020-09-10,6
2020-09-11,12
2020-09-12,8
2020-09-13,8
2020-09-14,5
2020-09-15,16
2020-09-16,15
2020-09-17,9
2020-09-18,15
2020-09-19,12
2020-09-20,10
2020-09-21,18
2020-09-22,15
2020-09-23,11
2020-09-24,18
2020-09-25,15
2020-09-26,26
2020-09-27,7
2020-09-28,19
2020-09-29,15
2020-09-30,16
2020-10-01,26
2020-10-02,25
2020-10-03,12
2020-10-04,9
2020-10-05,34
2020-10-06,27
2020-10-07,34
2020-10-08,42
2020-10-09,44
2020-10-10,39
2020-10-11,25
2020-10-12,59
2020-10-13,56
2020-10-14,63
2020-10-15,81
2020-10-16,90
2020-10-17,60
2020-10-18,54
2020-10-19,87
2020-10-20,130
2020-10-21,143
2020-10-22,207
2020-10-23,199
2020-10-24,124
2020-10-25,125
2020-10-26,240
2020-10-27,238
2020-10-28,249
2020-10-29,269
2020-10-30,260
2020-10-31,195
2020-11-01,170
2020-11-02,277
2020-11-03,329
2020-11-04,316
2020-11-05,338
2020-11-06,253
2020-11-07,219
2020-11-08,165
2020-11-09,321
2020-11-10,344
2020-11-11,421
2020-11-12,430
2020-11-13,417
2020-11-14,372
2020-11-15,224
2020-11-16,449
2020-11-17,510
2020-11-18,532
2020-11-19,564
2020-11-20,532
2020-11-21,344
2020-11-22,285
2020-11-23,472
2020-11-24,509
2020-11-25,590
2020-11-26,657
2020-11-27,625
2020-11-28,404
2020-11-29,327
2020-11-30,537
2020-12-01,657
2020-12-02,735
2020-12-03,851
2020-12-04,812
2020-12-05,513
2020-12-06,360
2020-12-07,692
2020-12-08,862
2020-12-09,848
